FLOW_DATE,y
4/19/2011,24.63
4/20/2011,24.36
4/21/2011,24.12
4/22/2011,24.01
4/23/2011,24.17
4/24/2011,24.42
4/25/2011,24.71
4/26/2011,24.88
4/27/2011,24.96
4/28/2011,25.04
4/29/2011,25.11
4/30/2011,25.17
5/1/2011,25.02
5/2/2011,24.88
5/3/2011,24.73
5/4/2011,24.53
5/5/2011,24.3
5/6/2011,24.04
5/7/2011,23.72
5/8/2011,23.36
5/9/2011,22.99
5/10/2011,22.62
5/11/2011,22.24
5/12/2011,21.86
5/13/2011,21.47
5/14/2011,21.08
5/15/2011,20.71
5/16/2011,20.33
5/17/2011,19.98
5/18/2011,19.63
5/19/2011,19.29
5/20/2011,19.14
5/21/2011,18.94
5/22/2011,18.66
5/23/2011,18.36
5/24/2011,18.05
5/25/2011,17.72
5/26/2011,17.57
5/27/2011,17.43
5/28/2011,17.34
5/29/2011,17.24
5/30/2011,17.13
5/31/2011,17.12
6/1/2011,17.13
6/2/2011,17.14
6/3/2011,17.16
6/4/2011,17.27
6/5/2011,17.36
6/6/2011,17.45
6/7/2011,17.61
6/8/2011,17.94
6/9/2011,18.23
6/10/2011,18.46
6/11/2011,18.68
6/12/2011,18.88
6/13/2011,19.14
6/14/2011,19.56
6/15/2011,19.83
6/16/2011,20.05
6/17/2011,20.3
6/18/2011,20.49
6/19/2011,20.72
6/20/2011,21.47
6/21/2011,21.92
6/22/2011,22.04
6/23/2011,22.07
6/24/2011,22.11
6/25/2011,22.09
6/26/2011,21.98
6/27/2011,22.04
6/28/2011,22.42
6/29/2011,23.07
6/30/2011,23.72
7/1/2011,23.94
7/2/2011,23.97
7/3/2011,23.89
7/4/2011,23.9
7/5/2011,23.94
7/6/2011,23.9
7/7/2011,23.84
7/8/2011,23.88
7/9/2011,23.98
7/10/2011,24.03
7/11/2011,24.05
7/12/2011,23.94
7/13/2011,23.72
7/14/2011,23.54
7/15/2011,23.6
7/16/2011,24.13
7/17/2011,25.1
7/18/2011,26.46
7/19/2011,28.28
7/20/2011,30.12
7/21/2011,31.77
7/22/2011,32.89
7/23/2011,33.83
7/24/2011,34.79
7/25/2011,35.88
7/26/2011,37.35
7/27/2011,38.47
7/28/2011,38.98
7/29/2011,39.2
7/30/2011,39.49
7/31/2011,39.64
8/1/2011,39.73
8/2/2011,40.09
8/3/2011,40.27
8/4/2011,41.14
8/5/2011,42.42
8/6/2011,43.71
8/7/2011,44.78
8/8/2011,45.63
8/9/2011,46.19
8/10/2011,46.43
8/11/2011,47.05
8/12/2011,47.45
8/13/2011,47.69
8/14/2011,48.13
8/15/2011,48.61
8/16/2011,49.17
8/17/2011,49.45
8/18/2011,49.24
8/19/2011,48.96
8/20/2011,48.66
8/21/2011,48.29
8/22/2011,48.16
8/23/2011,48.25
8/24/2011,48.2
8/25/2011,48.13
8/26/2011,48.09
8/27/2011,47.98
8/28/2011,47.87
8/29/2011,47.82
8/30/2011,47.65
8/31/2011,47.79
9/1/2011,48.34
9/2/2011,48.68
9/3/2011,48.53
9/4/2011,48.68
9/5/2011,48.54
9/6/2011,48.39
9/7/2011,48.02
9/8/2011,47.65
9/9/2011,47.79
9/10/2011,47.88
9/11/2011,47.9
9/12/2011,47.99
9/13/2011,48.17
9/14/2011,48.14
9/15/2011,48.03
9/16/2011,47.93
9/17/2011,48.03
9/18/2011,48.27
9/19/2011,48.34
9/20/2011,48.41
9/21/2011,48.46
9/22/2011,48.38
9/23/2011,48.24
9/24/2011,48.06
9/25/2011,47.86
9/26/2011,47.63
9/27/2011,47.32
9/28/2011,46.97
9/29/2011,46.55
9/30/2011,46.18
10/1/2011,45.81
10/2/2011,45.7
10/3/2011,45.71
10/4/2011,45.63
10/5/2011,45.44
10/6/2011,45.15
10/7/2011,44.86
10/8/2011,44.57
10/9/2011,44.29
10/10/2011,44.26
10/11/2011,44.32
10/12/2011,44.83
10/13/2011,45.63
10/14/2011,46.09
10/15/2011,46.37
10/16/2011,46.7
10/17/2011,46.97
10/18/2011,47.07
10/19/2011,47
10/20/2011,46.86
10/21/2011,46.84
10/22/2011,46.92
10/23/2011,46.85
10/24/2011,46.88
10/25/2011,47.31
10/26/2011,47.83
10/27/2011,48.13
10/28/2011,48.24
10/29/2011,48.19
10/30/2011,48.08
10/31/2011,47.99
11/1/2011,47.93
11/2/2011,47.86
11/3/2011,48.2
11/4/2011,49.35
11/5/2011,49.23
11/6/2011,49.35
11/7/2011,49.42
11/8/2011,49.45
11/9/2011,49.45
11/10/2011,49.38
11/11/2011,49.19
11/12/2011,48.96
11/13/2011,48.74
11/14/2011,48.52
11/15/2011,48.29
11/16/2011,48.06
11/17/2011,47.8
11/18/2011,47.54
11/19/2011,47.27
11/20/2011,47
11/21/2011,46.68
11/22/2011,46.39
11/23/2011,46.17
11/24/2011,45.9
11/25/2011,45.66
11/26/2011,45.41
11/27/2011,45.24
11/28/2011,45.16
11/29/2011,45.32
11/30/2011,45.19
12/1/2011,45.32
12/2/2011,45.2
12/3/2011,45.07
12/4/2011,44.94
12/5/2011,44.83
12/6/2011,44.66
12/7/2011,44.51
12/8/2011,44.32
12/9/2011,44.17
12/10/2011,44
12/11/2011,43.86
12/12/2011,43.72
12/13/2011,43.55
12/14/2011,43.43
12/15/2011,43.31
12/16/2011,43.18
12/17/2011,43.04
12/18/2011,42.88
12/19/2011,42.72
12/20/2011,42.55
12/21/2011,42.35
12/22/2011,46.39
12/23/2011,41.95
12/24/2011,41.85
12/25/2011,41.69
12/26/2011,41.52
12/27/2011,41.36
12/28/2011,41.22
12/29/2011,41.07
12/30/2011,40.9
12/31/2011,40.77
1/1/2012,40.97
1/1/2014,38.58
1/2/2014,38.55
1/3/2014,38.49
1/4/2014,38.49
1/5/2014,38.48
1/6/2014,38.47
1/7/2014,38.48
1/8/2014,38.5
1/9/2014,38.55
1/10/2014,38.61
1/11/2014,38.56
1/12/2014,38.35
1/13/2014,38.12
1/14/2014,37.89
1/15/2014,37.6
1/16/2014,37.26
1/17/2014,36.98
1/18/2014,36.71
1/19/2014,36.44
1/20/2014,36.21
1/21/2014,35.94
1/22/2014,35.62
1/23/2014,35.33
1/24/2014,35.03
1/25/2014,34.73
1/26/2014,34.46
1/27/2014,34.19
1/28/2014,34.12
1/29/2014,34.12
1/30/2014,34.1
1/31/2014,34.07
2/1/2014,34.05
2/2/2014,34.01
2/3/2014,33.99
2/4/2014,33.97
2/5/2014,33.95
2/6/2014,33.92
2/7/2014,33.78
2/8/2014,33.51
2/9/2014,33.21
2/10/2014,32.89
2/11/2014,32.57
2/12/2014,32.22
2/13/2014,31.85
2/14/2014,31.48
2/15/2014,31.11
2/16/2014,30.75
2/17/2014,31.11
2/18/2014,30.01
2/19/2014,29.62
2/20/2014,29.24
2/21/2014,28.85
2/22/2014,28.47
2/23/2014,28.08
2/24/2014,27.7
2/25/2014,27.55
2/26/2014,27.49
2/27/2014,27.44
2/28/2014,27.37
3/1/2014,27.34
3/2/2014,27.3
3/3/2014,27.27
3/4/2014,27.23
3/5/2014,27.19
3/6/2014,27.16
3/7/2014,27.12
3/8/2014,27.1
3/9/2014,27.06
3/10/2014,27.02
3/11/2014,26.99
3/12/2014,26.85
3/13/2014,26.55
3/14/2014,26.21
3/15/2014,25.82
3/16/2014,25.43
3/17/2014,25.04
3/18/2014,24.65
3/19/2014,24.25
3/21/2014,23.44
3/22/2014,23.03
3/23/2014,22.63
3/24/2014,22.23
3/25/2014,21.82
3/26/2014,21.42
3/27/2014,21.02
3/28/2014,20.64
3/29/2014,20.35
3/30/2014,20.05
3/31/2014,20.01
4/1/2014,19.98
4/2/2014,19.94
4/3/2014,19.91
4/4/2014,19.87
4/5/2014,19.83
4/8/2014,19.72
4/6/2014,19.8
4/7/2014,19.77
4/9/2014,19.66
4/10/2014,19.61
4/11/2014,19.55
4/12/2014,19.33
4/13/2014,18.94
4/14/2014,18.54
4/15/2014,18.15
4/16/2014,17.76
4/17/2014,17.36
4/18/2014,16.97
4/19/2014,16.58
4/20/2014,16.17
4/21/2014,15.77
4/22/2014,15.36
4/23/2014,14.96
4/24/2014,14.55
4/25/2014,14.15
4/26/2014,15.36
4/27/2014,13.35
4/28/2014,12.96
4/29/2014,12.92
4/30/2014,12.88
5/1/2014,12.83
5/2/2014,12.79
5/3/2014,12.75
5/4/2014,12.71
5/5/2014,12.67
5/6/2014,12.63
5/7/2014,12.59
5/8/2014,12.56
5/9/2014,12.55
5/10/2014,12.56
5/11/2014,12.58
5/12/2014,12.66
5/13/2014,12.74
5/14/2014,12.8
5/15/2014,0
5/16/2014,12.36
5/17/2014,12.04
5/18/2014,11.74
5/19/2014,11.42
5/20/2014,11.09
5/21/2014,10.75
5/22/2014,10.39
5/23/2014,10.04
5/24/2014,9.69
5/25/2014,9.33
5/26/2014,8.99
5/27/2014,8.67
5/28/2014,8.39
5/29/2014,8.18
5/30/2014,7.97
5/31/2014,7.86
6/1/2014,7.77
6/2/2014,7.69
6/3/2014,7.64
6/4/2014,7.63
6/5/2014,7.63
6/6/2014,7.64
6/7/2014,7.65
6/8/2014,7.66
6/9/2014,7.68
6/10/2014,7.7
6/11/2014,7.72
6/12/2014,7.74
6/13/2014,7.76
6/14/2014,7.78
6/15/2014,7.8
6/16/2014,7.82
6/17/2014,7.84
6/11/2013,5.11
6/12/2013,5.06
6/13/2013,5.03
6/14/2013,5.12
6/15/2013,7.79
6/16/2013,5.85
6/17/2013,6.41
6/18/2013,7.8
6/19/2013,8.24
6/20/2013,9.21
6/21/2013,9.77
6/22/2013,10.22
6/23/2013,10.55
6/24/2013,10.7
6/25/2013,10.77
6/26/2013,8.33
6/27/2013,12.71
6/28/2013,14.55
6/29/2013,15.88
6/30/2013,16.48
7/1/2013,16.73
7/2/2013,16.85
7/3/2013,17.07
7/4/2013,18
7/5/2013,20.55
7/6/2013,24.08
7/7/2013,27.1
7/8/2013,29.26
7/9/2013,30.6
7/10/2013,31.47
7/11/2013,31.92
7/12/2013,32.55
7/13/2013,33.33
7/14/2013,34.47
7/15/2013,35.39
7/16/2013,35.6
7/17/2013,35.74
7/18/2013,36.11
7/19/2013,36.54
7/20/2013,38.12
7/21/2013,41.55
7/22/2013,44.59
7/23/2013,47.13
7/24/2013,48.45
7/25/2013,48.66
7/26/2013,48.06
7/27/2013,47.31
7/28/2013,46.69
7/29/2013,47.08
7/31/2013,48.59
8/1/2013,49.45
8/2/2013,48.2
8/3/2013,48.59
8/4/2013,48.29
8/5/2013,47.31
7/30/2013,47.79
8/6/2013,47.52
8/7/2013,47.93
8/8/2013,48.89
8/9/2013,49.41
8/10/2013,49.26
8/11/2013,49.45
8/12/2013,49.45
8/13/2013,49.45
8/14/2013,49.45
8/15/2013,49.45
8/16/2013,49.45
8/17/2013,49.41
8/18/2013,49.33
8/19/2013,49.16
8/20/2013,48.89
8/21/2013,48.7
8/22/2013,48.82
8/23/2013,49.13
8/24/2013,49.35
8/25/2013,49.45
8/26/2013,49.45
8/27/2013,49.41
8/28/2013,49.27
8/29/2013,49.05
8/30/2013,48.75
8/31/2013,48.48
9/1/2013,47.91
9/2/2013,47.63
9/7/2013,46.69
9/8/2013,46.5
9/9/2013,46.61
9/3/2013,47.41
9/4/2013,47.31
9/5/2013,47.08
9/6/2013,46.89
9/10/2013,46.7
9/11/2013,46.66
9/12/2013,46.45
9/13/2013,46.61
9/14/2013,46.93
9/15/2013,47.01
9/16/2013,47.01
9/23/2013,49.45
9/17/2013,46.8
9/18/2013,46.73
9/19/2013,46.84
9/20/2013,47.31
9/21/2013,48.09
9/22/2013,49.21
9/24/2013,49.45
9/25/2013,49.45
9/26/2013,49.33
9/27/2013,49.21
9/28/2013,49.03
9/29/2013,48.77
9/30/2013,48.49
10/1/2013,48.27
10/2/2013,48.13
10/3/2013,48.03
10/4/2013,47.93
10/5/2013,47.79
10/6/2013,47.61
10/7/2013,47.37
10/14/2013,46.58
10/8/2013,47.2
10/9/2013,47.13
10/10/2013,47.12
10/11/2013,47.12
10/12/2013,47
10/13/2013,46.81
10/21/2013,46.89
10/15/2013,46.37
10/16/2013,46.26
10/17/2013,46.14
10/18/2013,46.05
10/19/2013,46.06
10/20/2013,46.19
10/22/2013,47.28
10/23/2013,47.31
10/24/2013,47.31
10/25/2013,47.31
10/26/2013,47.3
10/28/2013,47.08
10/29/2013,46.94
10/30/2013,46.77
11/1/2013,46.37
11/2/2013,46.15
11/3/2013,45.89
11/4/2013,45.63
11/5/2013,45.41
11/6/2013,45.19
11/7/2013,44.96
11/8/2013,44.7
11/9/2013,49.45
11/10/2013,44.18
11/11/2013,43.9
11/12/2013,43.54
11/13/2013,43.31
11/14/2013,43.04
11/15/2013,42.83
11/16/2013,42.57
11/17/2013,42.3
11/18/2013,42.08
11/19/2013,41.93
11/20/2013,41.79
11/21/2013,41.61
11/22/2013,41.39
11/23/2013,41.18
11/24/2013,41.34
11/25/2013,41.98
11/26/2013,42.23
11/27/2013,42.24
11/28/2013,42.18
11/29/2013,42.08
11/30/2013,42.02
12/2/2013,41.79
12/1/2013,0
12/5/2013,41.48
12/6/2013,41.36
12/7/2013,41.24
12/3/2013,41.68
12/4/2013,41.56
12/8/2013,41.12
12/9/2013,41.01
12/10/2013,40.9
12/11/2013,40.79
12/12/2013,40.65
12/13/2013,40.49
12/14/2013,40.47
12/15/2013,40.43
12/16/2013,40.33
12/17/2013,40.21
12/18/2013,40.12
12/19/2013,40
12/20/2013,39.88
12/21/2013,39.87
12/22/2013,39.85
12/23/2013,39.69
12/24/2013,39.52
12/25/2013,39.29
12/26/2013,39.04
12/27/2013,38.84
12/28/2013,38.73
12/29/2013,38.67
12/30/2013,38.63
12/31/2013,38.61
5/31/2012,8.45
6/7/2012,7.76
6/1/2012,7.94
6/2/2012,7.75
6/3/2012,7.75
6/8/2012,7.76
6/10/2012,7.77
6/9/2012,7.77
6/4/2012,7.76
6/5/2012,7.75
6/6/2012,7.75
6/11/2012,7.77
6/15/2012,7.79
6/17/2012,7.78
6/16/2012,7.78
6/12/2012,7.77
6/13/2012,7.78
6/30/2012,8.92
6/29/2012,8.75
6/28/2012,8.58
6/27/2012,8.45
6/26/2012,8.33
7/1/2012,8.94
7/2/2012,8.66
7/3/2012,8.42
7/4/2012,8.31
7/5/2012,8.94
7/6/2012,9.65
7/7/2012,10.14
7/8/2012,10.2
7/11/2012,9.85
7/9/2012,10.14
7/10/2012,9.99
7/15/2012,9.44
7/14/2012,9.52
7/13/2012,9.6
7/12/2012,9.71
7/19/2012,9.16
7/18/2012,9.22
7/17/2012,9.29
7/16/2012,9.37
7/20/2012,9.11
7/21/2012,9.05
7/22/2012,8.98
7/23/2012,8.92
7/24/2012,8.87
7/25/2012,8.85
7/26/2012,8.82
7/28/2012,8.78
7/29/2012,8.85
7/27/2012,8.8
7/31/2012,9.37
8/1/2012,9.69
7/30/2012,9.03
8/3/2012,10.18
8/2/2012,9.93
8/4/2012,10.37
8/5/2012,10.5
8/6/2012,10.64
8/7/2012,11.32
8/8/2012,13.96
8/9/2012,16.42
8/10/2012,18.22
8/11/2012,19.98
8/12/2012,21.28
8/13/2012,22.42
8/14/2012,23.7
8/15/2012,24.57
8/16/2012,25.1
8/17/2012,25.47
8/18/2012,25.4
8/19/2012,25.23
8/20/2012,25.08
8/21/2012,24.91
8/22/2012,24.7
8/23/2012,24.39
8/24/2012,24.23
8/25/2012,24.1
8/26/2012,23.9
8/27/2012,23.9
8/28/2012,23.88
8/29/2012,24.01
8/30/2012,24.13
8/31/2012,24.73
9/1/2012,24.73
9/2/2012,26.33
9/3/2012,27.1
9/4/2012,27.89
9/5/2012,28.89
9/6/2012,29.85
9/7/2012,30.5
9/8/2012,30.95
9/9/2012,31.31
9/10/2012,31.62
9/11/2012,31.88
9/12/2012,32.11
9/13/2012,32.23
9/14/2012,32.33
9/15/2012,32.36
9/16/2012,32.36
9/17/2012,32.28
9/18/2012,32.23
9/19/2012,32.23
9/20/2012,32.18
9/21/2012,32.21
9/22/2012,32.14
9/23/2012,32.06
9/24/2012,31.9
9/25/2012,31.72
9/26/2012,31.55
9/27/2012,31.37
9/28/2012,31.27
9/29/2012,31.29
9/30/2012,31.22
10/1/2012,30.99
10/2/2012,30.78
10/3/2012,30.51
10/4/2012,30.11
10/5/2012,29.48
10/6/2012,28.63
10/7/2012,27.71
10/8/2012,27.17
10/9/2012,26.97
10/10/2012,27.08
10/11/2012,27.04
10/12/2012,26.99
10/13/2012,26.9
10/14/2012,26.95
10/15/2012,27.46
10/16/2012,28.01
10/17/2012,28.58
10/18/2012,29.02
10/19/2012,29.27
10/20/2012,29.48
10/21/2012,29.74
10/22/2012,29.96
10/23/2012,30.15
10/24/2012,30.3
10/25/2012,30.23
10/26/2012,30.07
10/27/2012,29.85
10/28/2012,29.54
10/31/2012,28.52
11/1/2012,28.42
11/2/2012,28.61
11/3/2012,28.91
11/4/2012,29.16
10/29/2012,29.21
10/30/2012,28.86
11/11/2012,28.76
11/5/2012,29.34
11/6/2012,29.49
11/7/2012,29.52
11/8/2012,29.43
11/9/2012,29.27
11/10/2012,29.02
11/14/2012,27.99
11/15/2012,27.73
11/16/2012,27.38
11/17/2012,27.03
11/18/2012,26.69
11/12/2012,28.51
11/13/2012,28.24
11/19/2012,26.33
11/20/2012,25.96
11/21/2012,25.59
11/22/2012,25.21
11/23/2012,24.85
11/24/2012,24.49
11/25/2012,24.15
11/26/2012,23.85
11/27/2012,23.6
11/28/2012,23.36
11/29/2012,23.1
11/30/2012,22.81
12/1/2012,0
12/2/2012,22.23
12/3/2012,21.89
12/4/2012,21.57
12/5/2012,21.33
12/6/2012,21.11
12/7/2012,20.67
12/8/2012,19.49
12/9/2012,18.27
12/10/2012,17.52
12/11/2012,17.18
12/12/2012,16.89
12/13/2012,16.59
12/14/2012,16.3
12/15/2012,16.01
12/16/2012,15.73
12/17/2012,15.46
12/18/2012,15.19
12/19/2012,14.94
12/20/2012,14.7
12/21/2012,14.45
12/22/2012,14.23
12/23/2012,14.01
12/29/2012,12.76
12/30/2012,12.55
12/31/2012,12.32
12/24/2012,13.8
12/25/2012,13.59
12/26/2012,13.37
12/27/2012,13.17
12/28/2012,12.97
9/30/2010,46.18
12/31/2010,45.81
6/18/2014,7.85
6/19/2014,7.86
6/20/2014,7.87
6/21/2014,8.2
6/22/2014,9.13
6/23/2014,9.97
6/24/2014,10.7
6/25/2014,11.08
6/26/2014,11.28
6/27/2014,11.35
6/28/2014,11.35
6/29/2014,11.33
6/30/2014,11.29
7/1/2014,11.26
7/2/2014,11.25
7/3/2014,11.23
7/4/2014,11.22
7/5/2014,11.23
7/6/2014,11.3
7/7/2014,11.46
7/8/2014,11.57
1/1/2015,43.26
1/2/2015,39.88
1/3/2015,39.96
1/4/2015,40.04
1/5/2015,40.09
1/6/2015,40.12
1/7/2015,40.16
1/8/2015,40.21
1/9/2015,40.24
1/10/2015,40.29
1/11/2015,40.3
1/12/2015,40.07
1/13/2015,39.78
1/14/2015,39.49
1/15/2015,39.17
1/16/2015,38.83
1/17/2015,38.15
1/18/2015,38.08
1/19/2015,37.71
1/20/2015,37.43
1/21/2015,37.18
1/1/2016,27.89
1/2/2016,27.78
1/3/2016,27.71
1/4/2016,27.7
1/5/2016,27.68
1/6/2016,27.66
1/7/2016,27.51
1/8/2016,27.23
1/9/2016,26.99
1/10/2016,26.73
1/11/2016,26.43
1/12/2016,26.15
1/13/2016,25.87
1/14/2016,25.56
1/15/2016,25.25
1/16/2016,24.92
1/17/2016,24.6
1/18/2016,24.35
1/19/2016,24.08
1/20/2016,23.8
1/21/2016,23.53
1/22/2016,23.29
1/23/2016,23.3
1/24/2016,23.29
1/25/2016,23.3
1/26/2016,23.29
1/27/2016,23.28
1/28/2016,23.27
1/1/2017,10.55
1/2/2017,10.55
1/3/2017,10.55
1/4/2017,10.54
1/5/2017,10.54
1/6/2017,10.54
1/7/2017,10.54
1/8/2017,10.54
1/9/2017,10.54
1/10/2017,10.54
1/11/2017,10.54
1/12/2017,10.53
1/13/2017,10.53
1/14/2017,10.52
1/15/2017,10.52
1/16/2017,10.51
1/17/2017,10.5
1/18/2017,10.5
1/19/2017,10.49
1/20/2017,10.48
1/21/2017,10.48
1/22/2017,10.47
1/23/2017,10.46
1/24/2017,10.45
1/25/2017,10.45
1/26/2017,10.44
1/27/2017,10.43
1/28/2017,10.42
1/29/2017,10.42
1/30/2017,10.4
1/31/2017,10.39
2/1/2017,10.39
2/2/2017,10.38
2/3/2017,10.36
2/4/2017,10.35
1/1/2018,25.55
1/2/2018,25.4
1/3/2018,25.38
1/4/2018,25.36
1/5/2018,25.34
1/6/2018,25.32
1/7/2018,25.3
1/8/2018,25.28
1/9/2018,25.25
1/10/2018,25.24
1/11/2018,25.22
1/12/2018,25.19
1/13/2018,25.18
1/14/2018,24.99
1/15/2018,24.63
1/16/2018,24.26
1/17/2018,23.9
1/18/2018,23.53
1/19/2018,23.14
1/20/2018,22.76
1/21/2018,22.4
1/1/2019,36.59
1/2/2019,36.56
1/3/2019,36.53
1/4/2019,36.5
1/5/2019,36.46
1/6/2019,36.43
1/7/2019,36.38
1/22/2018,22.04
1/23/2018,21.67
1/24/2018,21.36
1/25/2018,21.2
1/26/2018,21.17
1/27/2018,21.14
1/28/2018,21.11
1/29/2018,21.08
1/30/2018,21.06
1/31/2018,21.04
2/1/2018,21.02
2/2/2018,20.99
2/3/2018,20.96
2/4/2018,20.93
2/5/2018,20.9
2/6/2018,20.75
2/7/2018,20.38
2/8/2018,20.01
2/9/2018,19.63
2/10/2018,19.26
2/11/2018,18.9
2/12/2018,18.52
2/13/2018,18.15
2/14/2018,17.79
2/15/2018,17.41
2/16/2018,17.11
2/17/2018,16.85
2/18/2018,16.55
2/19/2018,16.24
2/20/2018,16.05
2/21/2018,16.03
2/22/2018,16
2/23/2018,15.98
2/24/2018,15.95
2/25/2018,15.94
2/26/2018,15.91
2/27/2018,15.89
2/28/2018,15.87
3/1/2018,15.84
3/2/2018,15.82
3/3/2018,15.75
3/4/2018,15.68
3/5/2018,15.65
3/6/2018,15.63
3/7/2018,15.48
3/8/2018,15.2
3/9/2018,14.93
3/10/2018,14.61
3/11/2018,14.29
3/12/2018,13.97
3/13/2018,13.65
3/14/2018,13.34
3/15/2018,13.02
3/16/2018,12.7
3/17/2018,12.44
3/18/2018,12.19
3/19/2018,11.93
3/20/2018,11.67
3/21/2018,11.42
3/22/2018,11.16
3/23/2018,11.07
3/24/2018,11.05
3/25/2018,11.03
3/26/2018,11
3/27/2018,10.98
3/28/2018,10.96
3/29/2018,10.94
3/30/2018,10.91
3/31/2018,10.89
4/1/2018,10.87
4/2/2018,10.85
4/3/2018,10.83
4/4/2018,10.81
4/5/2018,10.78
4/6/2018,10.75
4/7/2018,10.69
4/8/2018,10.64
4/9/2018,10.5
4/10/2018,10.12
4/11/2018,9.74
4/12/2018,9.36
4/13/2018,9.06
4/14/2018,8.75
4/15/2018,8.48
4/16/2018,8.36
4/17/2018,8.33
4/18/2018,8.32
4/19/2018,8.3
4/20/2018,8.28
4/21/2018,8.27
4/22/2018,8.25
4/24/2018,8.21
4/25/2018,8.19
4/26/2018,8.18
4/27/2018,8.16
4/28/2018,8.14
4/29/2018,8.09
4/23/2018,8.23
4/30/2018,8.04
5/1/2018,7.98
5/2/2018,7.92
5/3/2018,7.84
5/4/2018,7.76
5/5/2018,7.68
5/6/2018,7.61
5/7/2018,7.54
5/8/2018,7.46
5/9/2018,7.4
5/10/2018,7.33
5/11/2018,7.26
5/12/2018,7.19
5/13/2018,7.13
5/14/2018,7.06
5/15/2018,6.99
5/16/2018,6.93
5/17/2018,6.87
5/18/2018,6.83
5/19/2018,6.79
5/20/2018,6.76
5/21/2018,6.76
5/22/2018,6.88
5/23/2018,7.04
5/24/2018,7.2
5/25/2018,7.34
5/26/2018,7.54
5/27/2018,7.8
5/28/2018,8.06
5/29/2018,8.31
5/30/2018,8.53
5/31/2018,8.67
6/1/2018,8.79
6/2/2018,8.96
6/3/2018,9.09
6/4/2018,9.21
6/5/2018,9.31
6/6/2018,9.41
6/7/2018,9.52
6/8/2018,9.63
6/9/2018,9.73
6/10/2018,9.87
6/11/2018,10.57
6/12/2018,12.08
6/13/2018,14.01
6/14/2018,16.42
6/15/2018,18.8
6/16/2018,21.43
6/17/2018,23.4
6/19/2018,24.96
6/20/2018,25.81
6/21/2018,25.98
6/22/2018,26.55
6/23/2018,26.99
6/24/2018,27.12
6/18/2018,24.34
6/25/2018,27.3
6/26/2018,27.39
6/27/2018,27.49
6/28/2018,27.55
6/29/2018,28.12
6/30/2018,29.24
7/1/2018,29.95
7/2/2018,30.29
7/3/2018,30.49
7/4/2018,30.58
7/5/2018,30.49
7/6/2018,30.65
7/7/2018,30.55
7/8/2018,30.5
7/9/2018,32
7/10/2018,35
7/11/2018,37
7/12/2018,40
7/13/2018,43
7/14/2018,47
7/15/2018,48
7/16/2018,47.04
7/17/2018,46.17
7/18/2018,45.74
7/19/2018,48.48
7/20/2018,49.45
7/21/2018,48.82
7/22/2018,47.31
7/23/2018,47.04
7/24/2018,46.64
7/25/2018,46.8
7/26/2018,47.42
7/27/2018,47.11
7/28/2018,46.57
7/29/2018,46.54
7/30/2018,46.41
7/31/2018,46.57
8/1/2018,46.82
8/2/2018,47.11
8/3/2018,47.46
8/4/2018,47.72
8/5/2018,47.83
8/6/2018,47.99
8/7/2018,48.05
8/8/2018,48.01
8/9/2018,48.68
8/10/2018,49.01
8/11/2018,47.11
8/12/2018,45.55
8/13/2018,45.63
8/14/2018,45.57
8/15/2018,44.89
8/16/2018,44.93
8/17/2018,42.98
