SNO.,FLOW_DATE,PRESENT_STORAGE_TMC,RES_LEVEL_FT,INFLOW_CUSECS,OUTFLOW_CUECS
103,4/14/2011,24.64,102.27,1111,1121
104,4/15/2011,24.63,102.26,1207,1121
105,4/16/2011,24.63,102.26,1304,1121
106,4/17/2011,24.67,102.3,1691,1121
107,4/18/2011,24.72,102.36,1885,1122
108,4/19/2011,24.63,102.25,1530,2400
109,4/20/2011,24.36,101.93,943,3827
110,4/21/2011,24.12,101.63,1186,3825
111,4/22/2011,24.01,101.5,2787,3824
112,4/23/2011,24.17,101.7,4701,2628
113,4/24/2011,24.42,102,3586,570
114,4/25/2011,24.71,102.35,4146,571
115,4/26/2011,24.88,102.55,2802,676
116,4/27/2011,24.96,102.65,1840,680
117,4/28/2011,25.04,102.75,1840,680
118,4/29/2011,25.11,102.83,1647,681
119,4/30/2011,25.17,102.9,1551,681
120,5/1/2011,25.02,102.72,1719,3247
121,5/2/2011,24.88,102.55,1815,3246
122,5/3/2011,24.73,102.37,2112,3640
123,5/4/2011,24.53,102.13,1894,4001
124,5/5/2011,24.3,101.85,1783,4244
125,5/6/2011,24.04,101.54,1526,4241
126,5/7/2011,23.72,101.14,870,4433
127,5/8/2011,23.36,100.7,554,4426
128,5/9/2011,22.99,100.23,303,4419
129,5/10/2011,22.62,99.75,312,4464
130,5/11/2011,22.24,99.26,266,4456
131,5/12/2011,21.86,98.77,308,4447
132,5/13/2011,21.47,98.25,187,4531
133,5/14/2011,21.08,97.72,156,4525
134,5/15/2011,20.71,97.22,459,4518
135,5/16/2011,20.33,96.7,348,4512
136,5/17/2011,19.98,96.21,630,4506
137,5/18/2011,19.63,95.71,600,4499
138,5/19/2011,19.29,95.21,637,4492
139,5/20/2011,19.14,95,2967,4488
140,5/21/2011,18.94,94.7,2148,4333
141,5/22/2011,18.66,94.29,1216,4264
142,5/23/2011,18.36,93.85,1002,4254
143,5/24/2011,18.05,93.37,843,4341
144,5/25/2011,17.72,92.87,707,4332
145,5/26/2011,17.57,92.63,1225,2849
146,5/27/2011,17.43,92.41,1186,2661
147,5/28/2011,17.34,92.28,2001,2809
148,5/29/2011,17.24,92.12,1776,2807
149,5/30/2011,17.13,91.94,1637,2805
150,5/31/2011,17.12,91.93,1126,1047
151,6/1/2011,17.13,91.95,1306,1047
152,6/2/2011,17.14,91.97,1163,897
153,6/3/2011,17.16,92,1030,692
154,6/4/2011,17.27,92.16,1799,488
155,6/5/2011,17.36,92.3,1652,490
156,6/6/2011,17.45,92.44,1653,490
157,6/7/2011,17.61,92.7,2544,491
158,6/8/2011,17.94,93.2,4369,495
159,6/9/2011,18.23,93.65,4056,498
160,6/10/2011,18.46,94,3296,501
161,6/11/2011,18.68,94.32,3145,507
162,6/12/2011,18.88,94.62,3142,660
163,6/13/2011,19.14,95,3771,663
164,6/14/2011,19.56,95.6,5631,666
165,6/15/2011,19.83,96,5524,2170
166,6/16/2011,20.05,96.3,7231,4613
167,6/17/2011,20.3,96.65,7281,4243
168,6/18/2011,20.49,96.92,6659,4296
169,6/19/2011,20.72,97.23,7460,4712
170,6/20/2011,21.47,98.25,13575,4722
171,6/21/2011,21.92,98.85,10210,4838
172,6/22/2011,22.04,99,6603,5156
173,6/23/2011,22.07,99.05,4126,3537
174,6/24/2011,22.11,99.1,2997,2408
175,6/25/2011,22.09,99.07,3315,3442
176,6/26/2011,21.98,98.93,4062,5158
177,6/27/2011,22.04,99,7246,6496
178,6/28/2011,22.42,99.5,11483,6864
179,6/29/2011,23.07,100.33,13481,5829
180,6/30/2011,23.72,101.15,12609,4893
181,7/1/2011,23.94,101.42,7601,4907
182,7/2/2011,23.97,101.45,5463,5058
183,7/3/2011,23.89,101.35,4238,5058
184,7/4/2011,23.9,101.36,5273,5057
185,7/5/2011,23.94,101.42,5594,4908
186,7/6/2011,23.9,101.36,4464,4908
187,7/7/2011,23.84,101.29,4368,4907
188,7/8/2011,23.88,101.34,5499,4906
189,7/9/2011,23.98,101.46,6160,4908
190,7/10/2011,24.03,101.53,5690,4910
191,7/11/2011,24.05,101.55,5220,4910
192,7/12/2011,23.94,101.42,4311,5415
193,7/13/2011,23.72,101.15,4629,7052
194,7/14/2011,23.54,100.92,4328,6357
195,7/15/2011,23.6,101,5123,4269
196,7/16/2011,24.13,101.65,9941,3694
197,7/17/2011,25.1,102.82,15112,3766
198,7/18/2011,26.46,104.4,19715,3868
199,7/19/2011,28.28,106.42,25174,4030
200,7/20/2011,30.12,108.37,26462,5035
201,7/21/2011,31.77,110.05,25387,6094
202,7/22/2011,32.89,111.15,19418,6280
203,7/23/2011,33.83,112.05,16054,5044
204,7/24/2011,34.79,112.95,14898,3641
205,7/25/2011,35.88,113.95,16473,3703
206,7/26/2011,37.35,115.26,20956,3793
207,7/27/2011,38.47,116.23,16946,3876
208,7/28/2011,38.98,116.67,10980,4859
209,7/29/2011,39.2,116.86,9855,7119
210,7/30/2011,39.49,117.1,10546,7101
211,7/31/2011,39.64,117.23,9418,7452
212,8/1/2011,39.73,117.3,8588,7453
213,8/2/2011,40.09,117.6,11803,7467
214,8/3/2011,40.27,117.75,9753,7496
215,8/4/2011,41.14,118.47,17821,7515
216,8/5/2011,42.42,119.5,22583,7642
217,8/6/2011,43.71,120.52,25043,9903
218,8/7/2011,44.78,121.35,31784,19176
219,8/8/2011,45.63,122,30172,20131
220,8/9/2011,46.19,122.42,27121,20420
221,8/10/2011,46.43,122.6,18452,15466
222,8/11/2011,47.05,123.06,15732,8390
223,8/12/2011,47.45,123.35,13232,8440
224,8/13/2011,47.69,123.53,11512,8460
225,8/14/2011,48.13,123.85,13774,8508
226,8/15/2011,48.61,124.2,14327,8518
227,8/16/2011,49.17,124.6,15197,8529
228,8/17/2011,49.45,124.8,11977,8539
229,8/18/2011,49.24,124.65,6324,8539
230,8/19/2011,48.96,124.45,5511,8534
231,8/20/2011,48.66,124.23,5165,8527
232,8/21/2011,48.29,123.97,4523,8520
233,8/22/2011,48.16,123.87,7122,8513
234,8/23/2011,48.25,123.94,9810,8513
235,8/24/2011,48.2,123.9,9072,9515
236,8/25/2011,48.13,123.85,9975,10577
237,8/26/2011,48.09,123.82,11353,11637
238,8/27/2011,47.98,123.74,10560,11635
239,8/28/2011,47.87,123.66,10551,11627
240,8/29/2011,47.82,123.62,11179,11622
241,8/30/2011,47.65,123.5,9893,11601
242,8/31/2011,47.79,123.6,13370,11598
243,9/1/2011,48.34,124,18132,11631
244,9/2/2011,48.68,124.25,23436,19190
245,9/3/2011,48.53,124.14,33183,34752
246,9/4/2011,48.68,124.25,38713,36728
247,9/5/2011,48.54,124.15,46011,47419
248,9/6/2011,48.39,124.04,39358,40927
249,9/7/2011,48.02,123.77,31018,35096
250,9/8/2011,47.65,123.5,22669,26734
251,9/9/2011,47.79,123.6,17895,16107
252,9/10/2011,47.88,123.67,15081,13769
253,9/11/2011,47.9,123.68,14102,13738
254,9/12/2011,47.99,123.75,15059,13746
255,9/13/2011,48.17,123.88,16024,13762
256,9/14/2011,48.14,123.86,13863,13974
257,9/15/2011,48.03,123.78,12904,13965
258,9/16/2011,47.93,123.7,12891,13952
259,9/17/2011,48.03,123.78,15422,13952
260,9/18/2011,48.27,123.95,9854,6960
261,9/19/2011,48.34,124,7957,6961
262,9/20/2011,48.41,124.05,7975,6961
263,9/21/2011,48.46,124.09,7815,6961
264,9/22/2011,48.38,124.03,6200,6961
265,9/23/2011,48.24,123.93,5575,6961
266,9/24/2011,48.06,123.8,5109,6960
267,9/25/2011,47.86,123.65,4792,6960
268,9/26/2011,47.63,123.48,4462,6946
269,9/27/2011,47.32,123.26,3630,6904
270,9/28/2011,46.97,123,3026,6892
271,9/29/2011,46.55,122.69,2255,6853
272,9/30/2011,46.18,122.41,2706,6840
273,10/1/2011,45.81,122.13,2668,6795
274,10/2/2011,45.7,122.05,5811,6801
275,10/3/2011,45.71,122.06,7204,6801
276,10/4/2011,45.63,122,6109,6790
277,10/5/2011,45.44,121.85,4723,6756
278,10/6/2011,45.15,121.63,3661,6754
279,10/7/2011,44.86,121.41,3577,6669
280,10/8/2011,44.57,121.19,3472,6563
281,10/9/2011,44.29,120.97,3621,6703
282,10/10/2011,44.26,120.95,6611,6673
283,10/11/2011,44.32,121,7649,6673
284,10/12/2011,44.83,121.39,12851,6703
285,10/13/2011,45.63,122,16224,6745
286,10/14/2011,46.09,122.34,12301,6790
287,10/15/2011,46.37,122.55,10313,6814
288,10/16/2011,46.7,122.8,10970,6852
289,10/17/2011,46.97,123,10198,6854
290,10/18/2011,47.07,123.07,8251,6892
291,10/19/2011,47,123.02,6366,6904
292,10/20/2011,46.86,122.92,5559,6866
293,10/21/2011,46.84,122.9,6790,6852
294,10/22/2011,46.92,122.96,8029,6853
295,10/23/2011,46.85,122.91,6327,6853
296,10/24/2011,46.88,122.93,7410,6853
297,10/25/2011,47.31,123.25,12154,6867
298,10/26/2011,47.83,123.63,13148,6886
299,10/27/2011,48.13,123.85,10634,6903
300,10/28/2011,48.24,123.93,8427,6910
301,10/29/2011,48.19,123.89,6529,6910
302,10/30/2011,48.08,123.81,5947,6960
303,10/31/2011,47.99,123.75,6264,6960
304,11/1/2011,47.93,123.7,6422,6960
305,11/2/2011,47.86,123.65,6374,6960
306,11/3/2011,48.2,123.9,10796,6638
307,11/4/2011,49.35,124.73,20359,6779
308,11/5/2011,49.23,124.64,17944,19188
309,11/6/2011,49.35,124.73,11661,9998
310,11/7/2011,49.42,124.78,8727,7710
311,11/8/2011,49.45,124.8,6653,6121
312,11/9/2011,49.45,124.8,9062,8854
313,11/10/2011,49.38,124.75,8550,9150
314,11/11/2011,49.19,124.61,4910,6963
315,11/12/2011,48.96,124.45,4587,6963
316,11/13/2011,48.74,124.29,4586,6962
317,11/14/2011,48.52,124.13,4586,6962
318,11/15/2011,48.29,123.97,4595,6962
319,11/16/2011,48.06,123.8,4476,6960
320,11/17/2011,47.8,123.61,4160,6960
321,11/18/2011,47.54,123.42,4146,6946
322,11/19/2011,47.27,123.22,3946,6904
323,11/20/2011,47,123.02,3946,6904
324,11/21/2011,46.68,122.78,3344,6865
325,11/22/2011,46.39,122.57,3803,6852
326,11/23/2011,46.17,122.4,4384,6815
327,11/24/2011,45.9,122.2,3907,6801
328,11/25/2011,45.66,122.02,3916,6501
329,11/26/2011,45.41,121.83,3777,6467
330,11/27/2011,45.24,121.7,4680,6454
331,11/28/2011,45.16,121.64,5740,6454
332,11/29/2011,45.32,121.76,8163,6454
333,11/30/2011,45.19,121.66,6952,6454
334,12/1/2011,45.32,121.76,6634,6454
335,12/2/2011,45.2,121.67,5286,6454
336,12/3/2011,45.07,121.57,5134,6454
337,12/4/2011,44.94,121.47,5124,6444
338,12/5/2011,44.83,121.32,5104,6433
339,12/6/2011,44.66,121.26,4942,6413
340,12/7/2011,44.51,121.14,4790,6413
341,12/8/2011,44.32,121,4477,6403
342,12/9/2011,44.17,120.88,4786,6373
343,12/10/2011,44,120.75,4637,6372
344,12/11/2011,43.86,120.64,4832,6272
345,12/12/2011,43.72,120.53,4832,6271
346,12/13/2011,43.55,120.4,4506,6241
347,12/14/2011,43.43,120.3,4939,6230
348,12/15/2011,43.31,120.21,5087,6230
349,12/16/2011,43.18,120.11,4939,6230
350,12/17/2011,43.04,120,4782,6222
351,12/18/2011,42.88,119.87,4498,6195
352,12/19/2011,42.72,119.74,4497,6193
353,12/20/2011,42.55,119.61,4482,6193
354,12/21/2011,42.35,119.45,4038,6184
355,12/22/2011,46.39,122.57,3803,6852
356,12/23/2011,41.95,119.13,4011,6157
357,12/24/2011,41.85,119.05,4970,5957
358,12/25/2011,41.69,118.92,4247,5935
359,12/26/2011,41.52,118.78,4111,5926
360,12/27/2011,41.36,118.65,4051,5726
361,12/28/2011,41.22,118.53,4192,5725
362,12/29/2011,41.07,118.41,4170,5703
363,12/30/2011,40.9,118.27,3878,5694
364,12/31/2011,40.77,118.17,2917,4166
365,1/1/2012,40.97,118.33,4924,2488
366,1/1/2014,38.58,116.33,1885,1994
367,1/2/2014,38.55,116.3,1550,1782
368,1/3/2014,38.49,116.25,1547,1644
369,1/4/2014,38.49,116.25,1547,1644
370,1/5/2014,38.48,116.24,1154,1115
371,1/6/2014,38.47,116.23,625,586
372,1/7/2014,38.48,116.24,896,586
373,1/8/2014,38.5,116.26,1032,586
374,1/9/2014,38.55,116.3,1303,586
375,1/10/2014,38.61,116.35,1438,586
376,1/11/2014,38.56,116.31,1300,1416
377,1/12/2014,38.35,116.13,984,3247
378,1/13/2014,38.12,115.93,1228,3247
379,1/14/2014,37.89,115.73,1249,3727
380,1/15/2014,37.6,115.48,1077,1011
381,1/16/2014,37.26,115.18,400,536
382,1/17/2014,36.98,114.93,568,536
383,1/18/2014,36.71,114.69,737,536
384,1/19/2014,36.44,114.45,657,970
385,1/20/2014,36.21,114.24,1029,954
386,1/21/2014,35.94,114,903,771
387,1/22/2014,35.62,113.71,531,839
388,1/23/2014,35.33,113.44,875,930
389,1/24/2014,35.03,113.17,863,918
390,1/25/2014,34.73,112.89,763,913
391,1/26/2014,34.46,112.64,865,648
392,1/27/2014,34.19,112.39,562,394
393,1/28/2014,34.12,112.32,496,382
394,1/29/2014,34.12,112.32,580,382
395,1/30/2014,34.1,112.3,333,382
396,1/31/2014,34.07,112.27,210,382
397,2/1/2014,34.05,112.25,333,382
398,2/2/2014,34.01,112.22,209,382
399,2/3/2014,33.99,112.2,333,382
400,2/4/2014,33.97,112.18,333,382
401,2/5/2014,33.95,112.16,333,382
402,2/6/2014,33.92,112.13,209,382
403,2/7/2014,33.78,112,710,382
404,2/8/2014,33.51,111.74,569,874
405,2/9/2014,33.21,111.45,420,1012
406,2/10/2014,32.89,111.15,438,1151
407,2/11/2014,32.57,110.84,354,1144
408,2/12/2014,32.22,110.49,403,1128
409,2/13/2014,31.85,110.13,277,1120
410,2/14/2014,31.48,109.76,216,1112
411,2/15/2014,31.11,109.39,236,1097
412,2/16/2014,30.75,109.02,228,1089
413,2/17/2014,31.11,109.39,236,1097
414,2/18/2014,30.01,108.26,199,1073
415,2/19/2014,29.62,107.86,252,1263
416,2/20/2014,29.24,107.45,200,1252
417,2/21/2014,28.85,107.04,195,1247
418,2/22/2014,28.47,106.63,285,1241
419,2/23/2014,28.08,106.21,178,1231
420,2/24/2014,27.7,105.79,220,1220
421,2/25/2014,27.55,105.62,219,615
422,2/26/2014,27.49,105.56,214,665
423,2/27/2014,27.44,105.5,264,715
424,2/28/2014,27.37,105.43,157,713
425,3/1/2014,27.34,105.39,167,410
426,3/2/2014,27.3,105.35,167,410
427,3/3/2014,27.27,105.31,177,409
428,3/4/2014,27.23,105.27,177,409
429,3/5/2014,27.19,105.23,177,409
430,3/6/2014,27.16,105.19,177,409
431,3/7/2014,27.12,105.15,177,409
432,3/8/2014,27.1,105.12,281,409
433,3/9/2014,27.06,105.08,177,409
434,3/10/2014,27.02,105.04,177,409
435,3/11/2014,26.99,105,177,409
436,3/12/2014,26.85,104.84,240,805
437,3/13/2014,26.55,104.5,189,1204
438,3/14/2014,26.21,104.11,178,1201
439,3/15/2014,25.82,103.66,143,1196
440,3/16/2014,25.43,103.21,164,1190
441,3/17/2014,25.04,102.75,129,1184
442,3/18/2014,24.65,102.28,179,1281
443,3/19/2014,24.25,101.79,135,1381
444,3/21/2014,23.44,100.79,149,1375
445,3/22/2014,23.03,100.28,123,1374
446,3/23/2014,22.63,99.77,172,1371
447,3/24/2014,22.23,99.25,143,1368
448,3/25/2014,21.82,98.72,117,1367
449,3/26/2014,21.42,98.19,171,4672
450,3/27/2014,21.02,97.65,164,4672
451,3/28/2014,20.64,97.13,175,4471
452,3/29/2014,20.35,96.72,169,3470
453,3/30/2014,20.05,96.3,115,3469
454,3/31/2014,20.01,96.25,115,413
455,4/1/2014,19.98,96.2,115,413
456,4/2/2014,19.94,96.15,196,413
457,4/3/2014,19.91,96.1,156,413
458,4/4/2014,19.87,96.05,156,413
459,4/5/2014,19.83,96,156,413
460,4/8/2014,19.72,95.83,101,412
461,4/6/2014,19.8,95.95,163,413
462,4/7/2014,19.77,95.9,162,413
463,4/9/2014,19.66,95.75,121,612
464,4/10/2014,19.61,95.67,121,412
465,4/11/2014,19.55,95.59,121,612
466,4/12/2014,19.33,95.27,167,1590
467,4/13/2014,18.94,94.7,193,4565
468,4/14/2014,18.54,94.12,167,4562
469,4/15/2014,18.15,93.53,184,4561
470,4/16/2014,17.76,92.93,146,4560
471,4/17/2014,17.36,92.31,103,4559
472,4/18/2014,16.97,91.69,165,4558
473,4/19/2014,16.58,91.06,162,4557
474,4/20/2014,16.17,90.39,162,4722
475,4/21/2014,15.77,89.71,151,4713
476,4/22/2014,15.36,89.02,153,4705
477,4/23/2014,14.96,88.31,141,4697
478,4/24/2014,14.55,87.59,148,4689
479,4/25/2014,14.15,86.86,156,4677
480,4/26/2014,15.36,89.02,153,4705
481,4/27/2014,13.35,85.35,170,4655
482,4/28/2014,12.96,84.58,191,4644
483,4/29/2014,12.92,84.5,175,527
484,4/30/2014,12.88,84.42,175,527
485,5/1/2014,12.83,84.34,175,527
486,5/2/2014,12.79,84.26,180,526
487,5/3/2014,12.75,84.18,160,526
488,5/4/2014,12.71,84.1,180,526
489,5/5/2014,12.67,84.02,180,526
490,5/6/2014,12.63,83.94,188,526
491,5/7/2014,12.59,83.86,189,525
492,5/8/2014,12.56,83.79,246,525
493,5/9/2014,12.55,83.78,507,525
494,5/10/2014,12.56,83.8,657,425
495,5/11/2014,12.58,83.84,771,425
496,5/12/2014,12.66,84,1453,425
497,5/13/2014,12.74,84.15,1427,426
498,5/14/2014,12.8,84.27,1252,426
499,5/15/2014,0,0,0,0
500,5/16/2014,12.36,83.38,1109,4631
501,5/17/2014,12.04,82.73,899,4429
502,5/18/2014,11.74,82.1,1070,4427
503,5/19/2014,11.42,81.4,777,4424
504,5/20/2014,11.09,80.68,734,4421
505,5/21/2014,10.75,79.92,641,4510
506,5/22/2014,10.39,79.1,524,4587
507,5/23/2014,10.04,78.26,523,4522
508,5/24/2014,9.69,77.4,516,4507
509,5/25/2014,9.33,76.52,520,4496
510,5/26/2014,8.99,75.64,477,4342
511,5/27/2014,8.67,74.79,470,4091
512,5/28/2014,8.39,74.04,160,3574
513,5/29/2014,8.18,73.44,477,2875
514,5/30/2014,7.97,72.84,374,2745
515,5/31/2014,7.86,72.52,380,1574
516,6/1/2014,7.77,72.28,304,1201
517,6/2/2014,7.69,72.05,357,1200
518,6/3/2014,7.64,71.88,610,1206
519,6/4/2014,7.63,71.85,511,563
520,6/5/2014,7.63,71.86,451,347
521,6/6/2014,7.64,71.88,490,348
522,6/7/2014,7.65,71.92,568,348
523,6/8/2014,7.66,71.96,567,348
524,6/9/2014,7.68,72,567,348
525,6/10/2014,7.7,72.06,656,349
526,6/11/2014,7.72,72.13,696,349
527,6/12/2014,7.74,72.19,656,349
528,6/13/2014,7.76,72.25,656,349
529,6/14/2014,7.78,72.3,617,350
530,6/15/2014,7.8,72.36,657,350
531,6/16/2014,7.82,72.41,617,350
532,6/17/2014,7.84,72.46,618,351
533,6/11/2013,5.11,63.13,198,775
534,6/12/2013,5.06,62.92,227,768
535,6/13/2013,5.03,62.8,481,762
536,6/14/2013,5.12,63.15,1782,763
537,6/15/2013,7.79,65,6231,798
538,6/16/2013,5.85,66,4016,876
539,6/17/2013,6.41,68,7517,920
540,6/18/2013,7.8,71,11778,939
541,6/19/2013,8.24,73.6,11555,1163
542,6/20/2013,9.21,76.2,12554,1237
543,6/21/2013,9.77,77.6,8240,1692
544,6/22/2013,10.22,78.7,7420,2054
545,6/23/2013,10.55,79.45,5901,2103
546,6/24/2013,10.7,79.8,3971,2133
547,6/25/2013,10.77,79.96,3774,2891
548,6/26/2013,8.33,80.86,7736,2994
549,6/27/2013,12.71,84.1,20280,2338
550,6/28/2013,14.55,87.58,23867,2536
551,6/29/2013,15.88,89.9,18185,2678
552,6/30/2013,16.48,90.9,9868,2781
553,7/1/2013,16.73,91.3,5800,2824
554,7/2/2013,16.85,91.5,4371,2837
555,7/3/2013,17.07,91.85,5461,2847
556,7/4/2013,18,93.3,13755,2879
557,7/5/2013,20.55,97,32568,2987
558,7/6/2013,24.08,101.58,44249,3318
559,7/7/2013,27.1,105.12,38446,3365
560,7/8/2013,29.26,107.48,28759,3511
561,7/9/2013,30.6,108.87,19209,3610
562,7/10/2013,31.47,109.75,14226,4036
563,7/11/2013,31.92,110.2,11267,5887
564,7/12/2013,32.55,110.82,14108,6655
565,7/13/2013,33.33,111.57,15849,6702
566,7/14/2013,34.47,112.65,20179,6813
567,7/15/2013,35.39,113.5,17849,7098
568,7/16/2013,35.6,113.69,9672,7109
569,7/17/2013,35.74,113.82,8925,7120
570,7/18/2013,36.11,114.15,11542,7162
571,7/19/2013,36.54,114.54,12424,7212
572,7/20/2013,38.12,115.93,23969,5552
573,7/21/2013,41.55,118.8,43807,3957
574,7/22/2013,44.59,121.2,39529,4169
575,7/23/2013,47.13,123.12,37856,8162
576,7/24/2013,48.45,124.08,28419,13005
577,7/25/2013,48.66,124.23,22630,19997
578,7/26/2013,48.06,123.8,29060,35730
579,7/27/2013,47.31,123.25,50049,58543
580,7/28/2013,46.69,122.79,57183,64201
581,7/29/2013,47.08,123.08,53445,48728
582,7/31/2013,48.59,124.18,30341,20919
583,8/1/2013,49.45,124.8,25392,15186
584,8/2/2013,48.2,123.9,52447,66742
585,8/3/2013,48.59,124.18,88185,83490
586,8/4/2013,48.29,123.97,95441,98615
587,8/5/2013,47.31,123.25,84176,95360
588,7/30/2013,47.79,123.6,47703,39290
589,8/6/2013,47.52,123.4,53459,50725
590,8/7/2013,47.93,123.7,33610,28819
591,8/8/2013,48.89,124.4,27836,16425
592,8/9/2013,49.41,124.77,23158,16974
593,8/10/2013,49.26,124.66,14740,16309
594,8/11/2013,49.45,124.8,10767,8298
595,8/12/2013,49.45,124.8,10583,10375
596,8/13/2013,49.45,124.8,13116,12908
597,8/14/2013,49.45,124.8,10192,9972
598,8/15/2013,49.45,124.8,5136,4927
599,8/16/2013,49.45,124.8,5827,5618
600,8/17/2013,49.41,124.77,5573,5848
601,8/18/2013,49.33,124.71,4167,4927
602,8/19/2013,49.16,124.59,3198,4927
603,8/20/2013,48.89,124.4,2068,4927
604,8/21/2013,48.7,124.26,2375,4427
605,8/22/2013,48.82,124.35,5574,3927
606,8/23/2013,49.13,124.57,7673,3927
607,8/24/2013,49.35,124.73,6704,3927
608,8/25/2013,49.45,124.8,5251,3927
609,8/26/2013,49.45,124.8,4120,3927
610,8/27/2013,49.41,124.77,3636,3927
611,8/28/2013,49.27,124.67,2505,3927
612,8/29/2013,49.05,124.51,1536,3927
613,8/30/2013,48.75,124.3,729,3927
614,8/31/2013,48.48,124.1,890,3927
615,9/1/2013,47.91,123.69,707,7052
616,9/2/2013,47.63,123.48,741,3859
617,9/7/2013,46.69,122.79,1647,3771
618,9/8/2013,46.5,122.65,1801,3770
619,9/9/2013,46.61,122.73,5207,3770
620,9/3/2013,47.41,123.32,1494,3821
621,9/4/2013,47.31,123.25,2918,3821
622,9/5/2013,47.08,123.08,1336,3821
623,9/6/2013,46.89,122.94,1816,3809
624,9/10/2013,46.7,122.8,5362,3770
625,9/11/2013,46.66,122.77,3194,3770
